t,num_edges,num_entities,num_new_edges,new_new_entities
34082,1,2,1,1
34085,1,2,1,1
34128,4,5,4,4
34225,3,4,3,3
34252,1,2,1,1
34358,3,4,3,3
34371,1,2,1,1
34383,1,2,1,1
34500,1,2,1,1
34502,1,2,1,1
34531,1,2,0,1
34566,1,2,1,1
34573,1,2,1,1
34624,1,2,1,1
34713,1,2,1,1
35023,1,2,1,1
35166,1,2,1,1
35224,3,4,3,3
35380,1,2,1,1
35388,15,16,15,15
35420,1,2,1,1
35641,1,2,1,1
35731,2,3,2,2
35739,1,2,1,1
35995,4,5,4,4
36092,14,15,10,14
36324,1,2,1,1
36346,1,2,1,1
36473,1,2,1,1
36573,1,2,1,1
36632,2,3,2,2
36666,1,2,1,1
36669,1,2,1,1
36686,1,2,1,1
36745,1,2,1,1
36768,1,2,1,1
36838,1,2,1,1
36915,1,2,1,1
36941,1,2,1,1
36963,1,2,1,1
37079,1,2,1,1
37090,1,2,1,1
37104,1,2,1,1
37139,2,3,2,2
37159,1,2,1,1
37162,1,2,1,1
37243,1,2,1,1
37277,3,4,3,3
37321,1,2,1,1
37399,1,2,1,1
37414,1,2,1,1
37417,1,2,1,1
37651,1,2,1,1
37684,2,3,2,2
37709,1,2,1,1
37826,1,2,1,1
37845,1,2,1,1
37862,1,2,0,1
37939,2,3,2,2
38045,1,2,1,1
38089,1,2,1,1
38131,1,2,1,1
38148,1,2,1,1
38249,3,4,3,3
38285,1,2,1,1
38287,1,2,1,1
38297,1,2,1,1
38315,1,2,1,1
38339,1,2,1,1
38372,1,2,0,1
38405,1,2,0,1
38424,1,2,1,1
38433,1,2,1,1
38452,1,2,1,1
38467,1,2,1,1
38503,1,2,1,1
38530,1,2,0,1
38549,8,9,8,8
38556,1,2,1,1
38580,1,2,0,1
38598,1,2,0,1
38609,1,2,1,1
38624,1,2,1,1
38708,1,2,1,1
38710,1,2,1,1
38721,1,2,1,1
38779,1,2,1,1
38849,1,2,1,1
38862,1,2,1,1
38886,1,2,1,1
38979,1,2,1,1
39090,1,2,1,1
39106,1,2,1,1
39144,1,2,1,1
39156,1,2,1,1
39208,1,2,1,1
39419,1,2,1,1
39437,2,3,2,2
39458,2,3,2,2
39597,1,2,1,1
39616,1,2,1,1
39747,1,2,1,1
39757,1,2,1,1
39759,3,4,3,3
39832,1,2,1,1
39859,1,2,1,1
39873,14,15,14,14
39911,1,2,1,1
39967,1,2,1,1
40037,1,2,1,1
40292,1,2,1,1
40311,1,2,1,1
40427,1,2,1,1
40442,1,2,1,1
40446,1,2,1,1
40463,1,2,1,1
40536,1,2,1,1
40537,1,2,1,1
40794,3,4,3,3
40802,1,2,1,1
40853,1,2,1,1
40989,2,3,2,2
40995,1,2,1,1
41037,1,2,1,1
41067,1,2,1,1
41145,1,2,1,1
41271,1,2,1,1
41297,1,2,1,1
41438,1,2,1,1
41565,1,2,1,1
41585,1,2,1,1
41637,1,2,1,1
41678,5,6,5,5
41680,1,2,1,1
41736,1,2,1,1
41790,1,2,1,1
41810,1,2,1,1
41845,1,2,1,1
41854,1,2,1,1
41952,1,2,1,1
42035,5,6,5,5
42145,7,8,2,7
42195,1,2,1,1
42200,1,2,1,1
42223,1,2,1,1
42229,1,2,1,1
42292,3,4,3,3
42340,1,2,1,1
42360,5,6,5,5
42439,1,2,1,1
42481,1,2,1,1
42486,1,2,1,1
42515,1,2,0,1
42548,30,31,30,30
42709,1,2,1,1
42890,1,2,1,1
42893,1,2,1,1
42896,1,2,1,1
42939,1,2,1,1
42963,1,2,1,1
42977,2,3,2,2
43089,3,4,3,3
43116,1,2,1,1
43127,1,2,1,1
43173,1,2,1,1
43218,3,4,3,3
43305,1,2,1,1
43413,1,2,1,1
43424,1,2,1,1
43455,1,2,1,1
43538,1,2,1,1
43565,1,2,1,1
43573,3,4,3,3
43575,4,5,4,4
43601,1,2,1,1
43642,1,2,1,1
43801,6,7,6,6
43811,1,2,1,1
43873,1,2,1,1
43878,1,2,1,1
43994,1,2,1,1
44069,1,2,1,1
44188,1,2,1,1
44218,1,2,1,1
44263,1,2,1,1
44324,1,2,1,1
44365,1,2,1,1
44439,1,2,1,1
44468,6,7,6,6
44475,1,2,1,1
44532,1,2,1,1
44585,1,2,1,1
44631,1,2,1,1
44662,1,2,1,1
44781,1,2,1,1
44946,10,11,10,10
44973,1,2,1,1
44987,1,2,1,1
44992,1,2,1,1
45081,1,2,1,1
45094,6,7,6,6
45283,24,25,24,24
45301,1,2,1,1
45343,2,3,2,2
45466,1,2,1,1
45753,1,2,1,1
45787,1,2,1,1
45803,1,2,1,1
45891,1,2,1,1
45898,1,2,1,1
45965,1,2,1,1
46091,1,2,1,1
46139,1,2,1,1
46184,2,4,1,2
46239,1,2,1,1
46391,1,2,1,1
46441,1,2,1,1
46514,1,2,1,1
46563,1,2,1,1
46601,1,2,1,1
46637,1,2,1,1
46650,1,2,1,1
46683,1,2,1,1
46806,1,2,1,1
46823,2,4,2,2
46836,1,2,1,1
47001,1,2,1,1
47214,1,2,1,1
47348,1,2,1,1
47379,1,2,1,1
47415,1,2,1,1
47417,1,2,1,1
47423,1,2,1,1
47709,2,3,2,2
47836,1,2,1,1
47922,1,2,1,1
47975,1,2,1,1
48013,11,12,11,11
48059,1,2,1,1
48201,1,2,1,1
48276,1,2,1,1
48277,10,11,10,10
48295,4,5,4,4
48344,1,2,1,1
48413,1,2,1,1
48441,1,2,1,1
48483,1,2,1,1
48573,1,2,1,1
48599,1,2,1,1
48625,1,2,1,1
48627,1,2,1,1
48667,1,2,1,1
48766,4,5,4,4
48816,3,4,3,3
48857,1,2,1,1
48940,2,3,2,2
48963,1,2,1,1
48993,1,2,1,1
49061,1,2,1,1
49068,6,7,6,6
49240,1,2,1,1
49276,1,2,1,1
49283,1,2,1,1
49319,1,2,1,1
49332,2,3,2,2
49369,2,4,2,2
49378,1,2,1,1
49400,1,2,1,1
49545,1,2,1,1
49555,1,2,1,1
49616,7,8,7,7
49773,1,2,1,1
49827,1,2,1,1
49948,1,2,1,1
49963,1,2,1,1
49993,1,2,1,1
49998,1,2,1,1
50118,2,3,2,2
50280,1,2,1,1
50285,1,2,1,1
50371,1,2,1,1
50372,1,2,1,1
50473,1,2,1,1
50607,1,2,1,1
50654,1,2,1,1
50782,1,2,1,1
50933,1,2,1,1
51239,1,2,1,1
51251,1,2,1,1
51292,1,2,1,1
51295,1,2,1,1
51334,1,2,1,1
51372,1,2,1,1
51391,1,2,1,1
51450,1,2,1,1
51698,1,2,1,1
51704,1,2,1,1
51760,1,2,1,1
51801,1,2,1,1
51870,1,2,1,1
52140,1,2,1,1
52194,24,25,24,24
52362,1,2,1,1
52369,1,2,1,1
52478,1,2,1,1
52628,1,2,1,1
52781,1,2,1,1
52791,1,2,1,1
52980,1,2,1,1
53064,1,2,1,1
53092,36,37,36,36
53180,1,2,1,1
53193,1,2,1,1
53374,1,2,1,1
53377,1,2,1,1
53406,1,2,1,1
53508,13,14,13,13
53560,1,2,1,1
53597,1,2,1,1
53782,1,2,1,1
53835,1,2,1,1
53881,1,2,1,1
54420,1,2,1,1
54564,1,2,1,1
54778,1,2,1,1
54912,3,4,3,3
55021,3,4,3,3
55044,1,2,1,1
55062,1,2,1,1
55093,1,2,1,1
55137,1,2,1,1
55163,1,2,1,1
55535,1,2,1,1
55675,1,2,1,1
56866,1,2,1,1
56885,1,2,0,1
57035,1,2,0,1
57054,2,3,1,2
57058,1,2,0,1
57132,1,2,1,1
57304,1,2,1,1
57446,2,3,2,2
57523,1,2,1,1
57958,1,2,1,1
57985,2,3,2,2
58189,1,2,1,1
58249,1,2,1,1
58250,1,2,1,1
58969,1,2,1,1
59088,1,2,1,1
59101,1,2,1,1
59169,1,2,1,1
59320,1,2,1,1
59366,1,2,1,1
59550,1,2,1,1
60004,2,3,2,2
60729,1,2,1,1
61113,1,2,1,1
61295,1,2,1,1
61539,2,3,2,2
62063,1,2,1,1
62134,1,2,1,1
62266,1,2,1,1
62896,1,2,1,1
63009,1,2,1,1
63152,1,2,1,1
63661,1,2,1,1
63875,1,2,1,1
64795,3,4,3,3
65652,1,2,1,1
65710,1,2,1,1
66360,1,2,1,1
66387,1,2,1,1
66864,1,2,1,1
67243,1,2,1,1
67502,1,2,1,1
67732,1,2,1,1
68739,1,2,1,1
69145,1,2,1,1
70082,1,2,1,1
70480,1,2,1,1
71251,1,2,0,1
71578,1,2,1,1
75396,1,2,1,1
77249,1,2,1,1
77369,1,2,0,1
77770,1,2,1,1
78282,1,2,1,1
78588,1,2,1,1
79987,1,2,1,1
88350,1,2,1,1
103058,1,2,1,1
103119,2,3,2,2
106038,1,2,1,1
106053,1,2,1,1
106073,1,2,1,1
106628,2,3,2,2
107853,1,2,1,1
107954,1,2,1,1
108980,1,2,1,1
109222,1,2,1,1
109754,4,5,4,4
109817,1,2,1,1
109919,3,4,3,3
109931,1,2,1,1
110052,4,5,4,4
110548,2,3,2,2
110615,2,3,2,2
110642,1,2,1,1
110701,1,2,1,1
110726,1,2,1,1
110852,1,2,1,1
110982,1,2,1,1
111140,1,2,1,1
111558,1,2,1,1
111737,1,2,1,1
111965,1,2,1,1
112203,2,3,2,2
112229,1,2,1,1
112262,1,2,1,1
112371,1,2,1,1
112486,1,2,1,1
112527,1,2,1,1
112550,1,2,0,1
112663,3,4,3,3
112756,4,5,2,4
112789,1,2,1,1
112922,1,2,1,1
112955,1,2,1,1
113003,1,2,1,1
113018,1,2,1,1
113174,1,2,1,1
113307,1,2,1,1
113383,2,3,2,2
113454,1,2,1,1
113464,1,2,1,1
113537,1,2,1,1
113582,1,2,1,1
113648,1,2,0,1
113699,1,2,1,1
113813,1,2,1,1
114016,1,2,1,1
114031,3,4,3,3
114042,1,2,1,1
114087,1,2,1,1
114099,3,4,3,3
114181,1,2,1,1
114195,1,2,1,1
114234,1,2,1,1
114311,1,2,1,1
114355,1,2,1,1
114487,1,2,1,1
114794,1,2,1,1
114834,1,2,1,1
114982,1,2,1,1
115011,1,2,1,1
115019,1,2,1,1
115094,1,2,1,1
115157,1,2,1,1
115177,1,2,1,1
115240,1,2,1,1
115336,1,2,1,1
115468,1,2,1,1
115692,1,2,1,1
115796,1,2,1,1
116108,1,2,1,1
116254,1,2,1,1
116574,1,2,1,1
116641,1,2,1,1
116661,1,2,1,1
116832,1,2,1,1
116936,4,5,4,4
116971,10,11,10,10
116992,9,10,9,9
117106,1,2,1,1
117115,1,2,1,1
117140,1,2,1,1
117175,1,2,1,1
117197,1,2,1,1
117222,1,2,1,1
117245,1,2,1,1
117253,1,2,1,1
117276,1,2,1,1
117283,1,2,1,1
117355,2,3,2,2
117394,15,16,15,15
117421,1,2,1,1
117514,1,2,1,1
117601,1,2,1,1
117621,1,2,0,1
117643,3,4,3,3
117704,1,2,1,1
118018,1,2,1,1
118105,1,2,1,1
118310,1,2,1,1
118356,1,2,1,1
118411,1,2,1,1
118417,1,2,1,1
118589,1,2,1,1
118622,1,2,1,1
118629,1,2,1,1
118642,1,2,0,1
118653,1,2,0,1
118689,1,2,0,1
118735,1,2,0,1
118769,1,2,0,1
118807,1,2,1,1
118829,1,2,1,1
118833,1,2,1,1
118847,1,2,1,1
118890,1,2,1,1
118932,1,2,1,1
118953,1,2,1,1
118984,1,2,1,1
119002,1,2,1,1
119068,1,2,1,1
119127,1,2,1,1
119128,1,2,1,1
119169,1,2,1,1
119330,1,2,1,1
119345,2,3,2,2
119518,2,3,2,2
119548,4,5,4,4
119550,1,2,1,1
119553,1,2,1,1
119716,1,2,1,1
119744,3,4,3,3
119980,1,2,1,1
119988,1,2,1,1
120004,1,2,1,1
120078,1,2,1,1
120092,1,2,1,1
120128,1,2,1,1
120204,2,3,2,2
120207,1,2,1,1
120289,1,2,1,1
120502,1,2,1,1
120510,1,2,1,1
120595,1,2,1,1
120668,1,2,1,1
120669,1,2,1,1
120692,1,2,1,1
120988,1,2,1,1
121088,1,2,1,1
121090,1,2,1,1
121188,1,2,1,1
121203,1,2,1,1
121338,1,2,1,1
121344,1,2,1,1
121461,1,2,1,1
121484,1,2,1,1
121535,1,2,1,1
121572,1,2,1,1
121603,15,16,15,15
121639,1,2,1,1
121894,1,2,1,1
121927,4,5,4,4
121966,1,2,1,1
122024,1,2,1,1
122140,1,2,1,1
122145,2,3,2,2
122159,2,3,2,2
122177,1,2,1,1
122197,1,2,1,1
122201,1,2,1,1
122207,1,2,1,1
122264,1,2,1,1
122266,2,3,2,2
122286,1,2,1,1
122298,1,2,1,1
122332,1,2,1,1
122370,1,2,0,1
122398,1,2,1,1
122434,1,2,1,1
122493,1,2,1,1
122499,1,2,1,1
122548,1,2,1,1
122560,1,2,1,1
122573,1,2,1,1
122613,1,2,1,1
122711,1,2,1,1
122737,1,2,1,1
122827,3,4,3,3
122853,1,2,1,1
122892,1,2,1,1
122928,3,4,3,3
123049,1,2,1,1
123245,5,6,5,5
123286,1,2,1,1
123715,1,2,1,1
123809,1,2,1,1
123850,1,2,1,1
124034,1,2,1,1
124175,1,2,1,1
124343,3,4,3,3
124425,1,2,1,1
124595,2,3,2,2
124869,1,2,1,1
124891,1,2,1,1
124902,2,3,2,2
124973,1,2,1,1
125016,1,2,1,1
125057,1,2,1,1
125075,1,2,1,1
125138,1,2,1,1
125254,1,2,1,1
125366,3,4,3,3
125465,1,2,1,1
125600,1,2,1,1
125608,1,2,1,1
125624,1,2,1,1
125675,1,2,1,1
125682,1,2,1,1
125727,1,2,1,1
125728,1,2,1,1
125790,1,2,1,1
125828,1,2,1,1
125919,1,2,1,1
125947,1,2,1,1
126011,1,2,1,1
126050,1,2,1,1
126188,1,2,1,1
126209,1,2,1,1
126250,1,2,1,1
126343,1,2,1,1
126369,1,2,1,1
126380,1,2,1,1
126416,1,2,1,1
126419,1,2,1,1
126495,1,2,1,1
126516,6,7,6,6
126560,1,2,1,1
126581,1,2,1,1
126586,1,2,1,1
126624,1,2,1,1
126653,1,2,1,1
126656,2,3,2,2
126683,1,2,1,1
127028,1,2,1,1
127048,1,2,1,1
127073,1,2,1,1
127162,1,2,1,1
127318,1,2,1,1
127543,1,2,0,1
127573,1,2,1,1
127646,1,2,1,1
127651,1,2,1,1
127713,1,2,1,1
128750,1,2,1,1
128905,1,2,1,1
128948,4,5,4,4
128972,1,2,1,1
129060,1,2,1,1
129138,1,2,1,1
129146,1,2,1,1
129344,1,2,1,1
129421,1,2,1,1
129747,1,2,1,1
129763,1,2,1,1
129953,1,2,1,1
129972,1,2,1,1
130221,1,2,1,1
130348,1,2,1,1
130433,1,2,1,1
130534,1,2,1,1
130597,1,2,1,1
130686,1,2,1,1
130698,1,2,1,1
130827,1,2,1,1
130874,1,2,1,1
131009,2,3,2,2
131014,1,2,1,1
131120,1,2,1,1
131152,1,2,1,1
131160,1,2,1,1
131161,1,2,1,1
131169,1,2,1,1
131182,1,2,0,1
131412,1,2,1,1
131487,1,2,1,1
131529,1,2,1,1
131564,1,2,1,1
131815,1,2,1,1
131916,1,2,1,1
132153,1,2,1,1
132167,3,4,3,3
132269,1,2,1,1
132328,1,2,1,1
132341,1,2,1,1
132363,1,2,1,1
132451,1,2,1,1
132454,1,2,1,1
132496,1,2,1,1
132520,24,25,24,24
132542,1,2,1,1
132585,1,2,1,1
132658,1,2,1,1
132664,1,2,1,1
132989,1,2,1,1
133057,1,2,1,1
133092,1,2,1,1
133112,1,2,1,1
133142,2,3,2,2
133245,1,2,1,1
133304,1,2,1,1
133324,1,2,1,1
133393,1,2,1,1
133790,1,2,1,1
133986,1,2,1,1
134057,1,2,1,1
134097,1,2,1,1
134108,1,2,1,1
134122,1,2,1,1
134176,1,2,1,1
134250,1,2,1,1
134254,1,2,1,1
134274,1,2,1,1
134299,19,20,19,19
134322,5,6,5,5
134344,1,2,1,1
134511,1,2,1,1
134544,1,2,1,1
134550,1,2,1,1
134617,1,2,1,1
134636,1,2,1,1
134668,1,2,1,1
134790,1,2,1,1
134796,1,2,1,1
134798,1,2,1,1
134804,1,2,1,1
134819,1,2,1,1
134832,1,2,1,1
134868,1,2,1,1
134892,1,2,1,1
134903,1,2,1,1
135001,1,2,1,1
135038,1,2,1,1
135044,1,2,1,1
135048,1,2,1,1
135191,1,2,1,1
135301,1,2,1,1
135315,1,2,1,1
135359,1,2,1,1
135370,1,2,1,1
135382,1,2,1,1
135489,1,2,1,1
135637,1,2,1,1
135749,1,2,1,1
135766,1,2,1,1
135880,1,2,1,1
135919,1,2,1,1
136007,1,2,1,1
136023,1,2,1,1
136051,1,2,1,1
136067,1,2,1,1
136341,1,2,1,1
136373,13,14,13,13
136685,1,2,1,1
136814,1,2,1,1
136863,1,2,1,1
137160,1,2,1,1
137270,1,2,1,1
137350,1,2,1,1
137469,1,2,1,1
137516,1,2,1,1
137607,1,2,1,1
137609,4,5,4,4
137769,1,2,1,1
137891,1,2,1,1
137913,2,3,2,2
137991,1,2,1,1
137996,2,3,2,2
138053,1,2,1,1
138124,1,2,1,1
138162,1,2,1,1
138502,1,2,1,1
138613,1,2,1,1
138721,1,2,1,1
138726,1,2,0,1
138727,4,5,4,4
139060,1,2,1,1
139236,1,2,1,1
139248,1,2,1,1
139253,2,3,2,2
139356,1,2,1,1
139377,1,2,1,1
139406,1,2,1,1
139433,1,2,1,1
139481,1,2,1,1
139512,1,2,1,1
139544,1,2,1,1
139572,1,2,1,1
139831,1,2,1,1
140029,1,2,1,1
140129,1,2,1,1
140236,1,2,1,1
140425,1,2,1,1
140426,1,2,1,1
140595,1,2,1,1
140688,1,2,1,1
140691,2,3,2,2
140733,1,2,1,1
140828,2,3,2,2
140856,1,2,1,1
140902,1,2,1,1
141018,1,2,1,1
141051,1,2,1,1
141166,2,4,2,2
141399,1,2,0,1
141577,3,4,3,3
141631,1,2,1,1
141780,1,2,1,1
141826,1,2,1,1
142006,1,2,1,1
142023,1,2,1,1
142034,1,2,1,1
142147,1,2,1,1
142199,1,2,0,1
142342,1,2,1,1
142929,1,2,1,1
143119,1,2,1,1
143122,1,2,1,1
143136,1,2,1,1
143953,1,2,1,1
144014,1,2,1,1
144024,1,2,1,1
144141,1,2,1,1
144581,1,2,1,1
144596,1,2,1,1
144765,1,2,1,1
145028,1,2,1,1
145099,1,2,1,1
145351,1,2,1,1
145440,1,2,1,1
145510,1,2,1,1
145511,3,4,3,3
145521,1,2,1,1
145573,1,2,1,1
145718,1,2,1,1
146530,1,2,1,1
146655,1,2,1,1
146818,1,2,1,1
146825,1,2,1,1
146974,2,3,2,2
147096,1,2,1,1
147106,1,2,1,1
148149,1,2,1,1
148305,1,2,1,1
148570,1,2,1,1
149109,2,3,2,2
150136,1,2,1,1
158974,2,3,2,2
159057,1,2,1,1
159109,1,2,1,1
159458,1,2,1,1
160737,1,2,1,1
160848,1,2,0,1
161758,1,2,1,1
163049,1,2,1,1
163482,1,2,1,1
164261,1,2,1,1
164262,1,2,1,1
165156,1,2,1,1
168974,1,2,1,1
169459,1,2,1,1
173183,1,2,1,1
192629,3,4,3,3
192723,1,2,1,1
194930,1,2,1,1
195024,1,2,1,1
195239,1,2,1,1
195899,1,2,1,1
196070,1,2,1,1
196651,1,2,1,1
197543,1,2,1,1
197586,6,7,6,6
197890,2,3,2,2
198112,1,2,1,1
198158,1,2,1,1
198400,1,2,1,1
198429,1,2,1,1
198488,1,2,1,1
198566,1,2,1,1
198582,1,2,1,1
198639,1,2,1,1
198670,1,2,1,1
198722,1,2,1,1
198732,1,2,1,1
198907,1,2,1,1
198987,2,3,2,2
199065,1,2,1,1
199680,9,10,9,9
199865,1,2,1,1
199900,1,2,1,1
199959,1,2,1,1
200046,1,2,1,1
200085,1,2,1,1
200349,1,2,1,1
200388,2,3,2,2
200436,1,2,1,1
200496,1,2,1,1
200538,1,2,1,1
200722,1,2,1,1
200734,1,2,1,1
201015,2,3,2,2
201047,1,2,0,1
201149,1,2,1,1
201191,3,4,3,3
201196,1,2,1,1
201221,1,2,1,1
201239,1,2,1,1
201283,1,2,1,1
201288,1,2,1,1
201356,1,2,1,1
201635,1,2,1,1
201645,1,2,1,1
201722,2,3,2,2
201745,1,2,1,1
201824,1,2,1,1
201945,1,2,1,1
202074,1,2,1,1
202250,2,3,2,2
202299,1,2,1,1
202416,1,2,1,1
202437,1,2,1,1
202454,1,2,1,1
202455,1,2,1,1
202598,1,2,1,1
202657,1,2,1,1
202658,1,2,1,1
202754,3,4,3,3
202774,2,3,2,2
202802,1,2,1,1
202901,1,2,1,1
202935,1,2,1,1
202994,2,3,2,2
202998,2,3,2,2
202999,13,14,13,13
203080,1,2,1,1
203090,1,2,1,1
203096,2,3,2,2
203100,1,2,0,1
203160,3,4,3,3
203164,1,2,1,1
203173,1,2,1,1
203307,1,2,0,1
203359,1,2,1,1
203403,1,2,1,1
203419,1,2,1,1
203501,1,2,1,1
203524,1,2,1,1
203553,1,2,1,1
203560,1,2,1,1
203604,1,2,1,1
203633,1,2,1,1
203726,2,4,1,2
203753,1,2,0,1
203830,1,2,1,1
203864,1,2,1,1
203926,1,2,1,1
203928,1,2,1,1
203948,1,2,1,1
203985,1,2,1,1
204001,1,2,1,1
204018,1,2,1,1
204107,4,5,4,4
204170,1,2,1,1
204294,1,2,1,1
204354,1,2,1,1
204400,1,2,1,1
204443,1,2,1,1
204524,1,2,1,1
204537,1,2,1,1
204611,1,2,1,1
204923,1,2,1,1
204964,1,2,1,1
205032,1,2,1,1
205084,3,4,3,3
205237,1,2,1,1
205413,1,2,1,1
205416,1,2,1,1
205431,1,2,1,1
205497,1,2,1,1
205502,1,2,1,1
205551,1,2,1,1
205621,2,3,2,2
205625,1,2,1,1
205720,2,3,2,2
205743,1,2,1,1
205790,1,2,1,1
205809,1,2,1,1
206014,1,2,1,1
206020,1,2,1,1
206164,1,2,1,1
206385,1,2,1,1
206391,1,2,1,1
206785,1,2,1,1
206858,1,2,1,1
206951,1,2,1,1
206981,2,3,2,2
207034,2,3,0,2
207157,1,2,1,1
207194,1,2,1,1
207418,3,4,3,3
207442,1,2,1,1
207507,1,2,1,1
207540,1,2,1,1
207592,1,2,1,1
207613,1,2,1,1
207694,1,2,1,1
207718,1,2,1,1
207754,1,2,1,1
207802,1,2,1,1
207907,3,4,3,3
207908,1,2,1,1
207911,1,2,1,1
208101,1,2,1,1
208127,1,2,1,1
208298,2,3,2,2
208432,1,2,1,1
208466,1,2,1,1
208535,1,2,1,1
208611,2,3,2,2
208656,1,2,1,1
208815,1,2,1,1
208868,1,2,1,1
208872,1,2,1,1
209001,1,2,1,1
209026,1,2,1,1
209030,1,2,1,1
209200,1,2,1,1
209260,1,2,1,1
209301,1,2,1,1
209322,1,2,1,1
209324,1,2,1,1
209376,2,4,2,2
209383,1,2,1,1
209398,1,2,1,1
209416,1,2,1,1
209515,1,2,1,1
209652,1,2,1,1
209726,1,2,0,1
209753,1,2,1,1
209853,1,2,1,1
209871,1,2,1,1
210026,1,2,1,1
210101,4,5,4,4
210103,1,2,1,1
210106,1,2,1,1
210119,1,2,1,1
210227,1,2,1,1
210261,1,2,1,1
210363,3,4,3,3
210535,1,2,1,1
210549,4,5,4,4
210618,1,2,1,1
210621,1,2,1,1
210738,12,13,12,12
210740,1,2,1,1
210755,1,2,1,1
210763,1,2,1,1
210774,2,3,2,2
210885,1,2,1,1
210944,1,2,1,1
211004,1,2,1,1
211077,1,2,1,1
211131,1,2,1,1
211506,1,2,1,1
211582,1,2,1,1
211928,1,2,1,1
212233,2,3,2,2
212288,5,6,5,5
212306,1,2,1,1
212684,1,2,1,1
212690,2,3,2,2
212755,2,3,2,2
212821,1,2,1,1
212882,1,2,1,1
212885,1,2,1,1
212907,2,3,2,2
212916,1,2,1,1
213302,1,2,1,1
213574,2,3,2,2
213856,1,2,1,1
213887,1,2,1,1
213901,1,2,1,1
214138,1,2,1,1
214152,4,6,4,4
214184,1,2,1,1
214240,1,2,1,1
214245,3,4,3,3
214246,1,2,1,1
214289,1,2,1,1
214331,2,3,2,2
214542,1,2,1,1
214689,1,2,1,1
214831,1,2,1,1
214884,1,2,1,1
214905,1,2,1,1
215031,1,2,1,1
215091,1,2,1,1
215097,1,2,1,1
215190,1,2,1,1
215241,1,2,1,1
215265,1,2,1,1
215358,1,2,1,1
215855,1,2,1,1
215904,1,2,1,1
215986,1,2,1,1
216193,1,2,1,1
216655,1,2,1,1
216710,1,2,1,1
216726,1,2,1,1
216811,1,2,1,1
216864,1,2,1,1
